Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-05,20:15 (21:15),Benfica,2.7,4–0,0.4,Arouca,52617,Estádio do Sport Lisboa e Benfica,Manuel Mota,Match Report,
1,Sat,2022-08-06,15:30 (16:30),Rio Ave,0.2,0–1,1.4,Vizela,3038,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
1,Sat,2022-08-06,18:00 (19:00),Estoril,1.8,2–0,1.5,Famalicão,1473,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
1,Sat,2022-08-06,20:30 (21:30),Porto,3.2,5–1,1.6,Marítimo,46309,Estádio Do Dragão,Hélder Malheiro,Match Report,
1,Sun,2022-08-07,14:30 (16:30),Santa Clara,0.3,0–0,1.3,Casa Pia,1785,Estádio de São Miguel,Bruno Jose Costa,Match Report,
1,Sun,2022-08-07,18:00 (19:00),Braga,1.4,3–3,1.8,Sporting CP,17714,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
1,Sun,2022-08-07,20:30 (21:30),Portimonense,1.3,0–1,0.7,Boavista,2590,Estádio do Portimonense SC,Cláudio Ruivo Pereira,Match Report,
1,Sun,2022-08-07,20:30 (21:30),Chaves,0.9,0–1,1.0,Vitória,7526,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,Match Report,
1,Mon,2022-08-08,20:15 (21:15),Gil Vicente FC,1.4,1–0,0.9,Paços,4871,Estádio Cidade de Barcelos,André Narciso,Match Report,
2,Fri,2022-08-12,20:15 (21:15),Famalicão,1.0,0–3,2.3,Braga,4637,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
2,Sat,2022-08-13,18:00 (19:00),Casa Pia,0.2,0–1,1.6,Benfica,22253,Estádio Pina Manique,Tiago Martins,Match Report,
2,Sat,2022-08-13,20:30 (21:30),Sporting CP,2.2,3–0,0.1,Rio Ave,31760,Estádio José Alvalade,Manuel Mota,Match Report,
2,Sun,2022-08-14,15:30 (16:30),Boavista,2.1,2–1,0.4,Santa Clara,5520,Estádio do Bessa Século XXI,Hélder Malheiro,Match Report,
2,Sun,2022-08-14,18:00 (19:00),Vizela,0.2,0–1,0.9,Porto,4679,Estádio Do Vizela,Fábio Veríssimo,Match Report,
2,Sun,2022-08-14,20:30 (21:30),Vitória,1.1,1–0,0.5,Estoril,15652,Estádio Dom Afonso Henriques,Cláudio Ruivo Pereira,Match Report,
2,Mon,2022-08-15,15:30 (16:30),Marítimo,1.0,1–2,2.4,Chaves,6827,Estádio dos Barreiros,Ricardo Baixinho,Match Report,
2,Mon,2022-08-15,18:00 (19:00),Arouca,0.8,1–0,1.0,Gil Vicente FC,1759,Estádio Municipal de Arouca,Nuno Almeida,Match Report,
2,Mon,2022-08-15,20:30 (21:30),Paços,0.5,0–3,1.0,Portimonense,2661,Estádio da Capital do Móvel,João Pinheiro,Match Report,
3,Fri,2022-08-19,20:15 (21:15),Estoril,1.0,2–2,0.7,Rio Ave,1742,Estádio António Coimbra da Mota,Vítor Ferreira,Match Report,
3,Sat,2022-08-20,14:30 (16:30),Santa Clara,1.4,1–2,1.3,Arouca,1172,Estádio de São Miguel,Hélder Carvalho,Match Report,
3,Sat,2022-08-20,18:00 (19:00),Chaves,0.6,1–1,1.0,Vizela,5489,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,
3,Sat,2022-08-20,20:30 (21:30),Porto,3.0,3–0,0.8,Sporting CP,49430,Estádio Do Dragão,Nuno Almeida,Match Report,
3,Sun,2022-08-21,15:30 (16:30),Casa Pia,1.4,2–0,0.8,Boavista,1136,Estádio Pina Manique,Pierre Gaillouste,Match Report,
3,Sun,2022-08-21,18:00 (19:00),Braga,1.8,5–0,0.3,Marítimo,12358,Estádio Municipal de Braga,António Nobre,Match Report,
3,Sun,2022-08-21,20:30 (21:30),Portimonense,1.9,2–1,1.1,Vitória,3032,Estádio do Portimonense SC,Ricardo Baixinho,Match Report,
3,Mon,2022-08-22,20:15 (21:15),Gil Vicente FC,1.1,0–0,0.6,Famalicão,4245,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,
4,Fri,2022-08-26,20:15 (21:15),Paços,0.7,0–3,2.1,Estoril,2469,Estádio da Capital do Móvel,Carlos Macedo,Match Report,
4,Sat,2022-08-27,15:30 (16:30),Marítimo,0.9,0–1,1.3,Portimonense,4785,Estádio dos Barreiros,Manuel Mota,Match Report,
4,Sat,2022-08-27,18:00 (19:00),Boavista,0.1,0–3,2.9,Benfica,10939,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
4,Sat,2022-08-27,20:30 (21:30),Sporting CP,1.7,0–2,0.6,Chaves,31408,Estádio José Alvalade,André Narciso,Match Report,
4,Sun,2022-08-28,15:30 (16:30),Famalicão,1.5,1–0,0.9,Santa Clara,3636,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
4,Sun,2022-08-28,18:00 (19:00),Arouca,0.8,0–6,2.6,Braga,2348,Estádio Municipal de Arouca,Gustavo Correia,Match Report,
4,Sun,2022-08-28,20:30 (21:30),Rio Ave,0.7,3–1,2.3,Porto,3980,Estádio do Rio Ave Futebol Clube,Tiago Martins,Match Report,
4,Mon,2022-08-29,19:00 (20:00),Vitória,1.1,0–1,0.7,Casa Pia,14231,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
4,Mon,2022-08-29,21:15 (22:15),Vizela,1.4,2–2,1.4,Gil Vicente FC,2824,Estádio Do Vizela,Manuel Oliveira,Match Report,
3,Tue,2022-08-30,20:15 (21:15),Benfica,3.4,3–2,0.7,Paços,55151,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
5,Fri,2022-09-02,19:00 (20:00),Benfica,2.4,2–1,0.6,Vizela,47958,Estádio do Sport Lisboa e Benfica,Fábio Veríssimo,Match Report,
5,Fri,2022-09-02,21:15 (22:15),Estoril,0.8,0–2,1.8,Sporting CP,4718,Estádio António Coimbra da Mota,Manuel Oliveira,Match Report,
5,Sat,2022-09-03,15:30 (16:30),Braga,2.2,1–0,0.7,Vitória,21736,Estádio Municipal de Braga,Nuno Almeida,Match Report,
5,Sat,2022-09-03,20:30 (21:30),Gil Vicente FC,0.7,0–2,2.3,Porto,8458,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
5,Sun,2022-09-04,15:30 (16:30),Casa Pia,0.3,0–0,0.2,Arouca,1022,Estádio Nacional,Carlos Macedo,Match Report,
5,Sun,2022-09-04,17:00 (19:00),Santa Clara,1.6,2–1,1.6,Marítimo,1012,Estádio de São Miguel,Gustavo Correia,Match Report,
5,Sun,2022-09-04,20:30 (21:30),Portimonense,0.7,1–0,0.7,Famalicão,1840,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
5,Mon,2022-09-05,19:00 (20:00),Boavista,1.0,1–0,0.8,Paços,4831,Estádio do Bessa Século XXI,Cláudio Ruivo Pereira,Match Report,
5,Mon,2022-09-05,21:15 (22:15),Chaves,2.4,1–1,0.9,Rio Ave,2987,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Malheiro,Match Report,
6,Fri,2022-09-09,20:15 (21:15),Vitória,0.9,1–0,0.7,Santa Clara,12132,Estádio Dom Afonso Henriques,João Pinheiro,Match Report,
6,Sat,2022-09-10,15:30 (16:30),Famalicão,0.3,0–1,1.4,Benfica,4867,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,
6,Sat,2022-09-10,18:00 (19:00),Sporting CP,1.2,4–0,0.4,Portimonense,29782,Estádio José Alvalade,Cláudio Ruivo Pereira,Match Report,
6,Sat,2022-09-10,20:30 (21:30),Porto,2.8,3–0,0.5,Chaves,44109,Estádio Do Dragão,António Nobre,Match Report,
6,Sun,2022-09-11,15:30 (16:30),Paços,1.6,2–3,1.4,Casa Pia,4112,Estádio da Capital do Móvel,Tiago Martins,Match Report,
6,Sun,2022-09-11,18:00 (19:00),Marítimo,1.5,1–2,2.3,Gil Vicente FC,5032,Estádio dos Barreiros,Miguel Nogueira,Match Report,
6,Sun,2022-09-11,18:00 (19:00),Arouca,0.8,1–2,1.5,Boavista,1395,Estádio Municipal de Arouca,João António Gonçalves,Match Report,
6,Sun,2022-09-11,20:30 (21:30),Rio Ave,1.0,2–3,2.8,Braga,3071,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,
6,Mon,2022-09-12,20:15 (21:15),Vizela,3.1,0–1,0.4,Estoril,2335,Estádio Do Vizela,Manuel Mota,Match Report,
7,Fri,2022-09-16,20:15 (21:15),Portimonense,1.9,1–0,1.1,Chaves,1411,Estádio do Portimonense SC,Manuel Oliveira,Match Report,
7,Sat,2022-09-17,14:30 (16:30),Santa Clara,1.0,1–1,0.5,Paços,2123,Estádio de São Miguel,Rui Costa,Match Report,
7,Sat,2022-09-17,15:30 (16:30),Gil Vicente FC,1.9,2–2,0.6,Rio Ave,2856,Estádio Cidade de Barcelos,João António Gonçalves,Match Report,
7,Sat,2022-09-17,18:00 (19:00),Estoril,0.7,1–1,1.6,Porto,4430,Estádio António Coimbra da Mota,Luís Godinho,Match Report,
7,Sat,2022-09-17,20:30 (21:30),Boavista,1.5,2–1,0.9,Sporting CP,8847,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
7,Sun,2022-09-18,15:30 (16:30),Arouca,0.8,2–2,1.4,Vitória,2376,Estádio Municipal de Arouca,Fábio Veríssimo,Match Report,
7,Sun,2022-09-18,18:00 (19:00),Casa Pia,0.8,1–0,0.5,Famalicão,917,Estádio Nacional,Miguel Nogueira,Match Report,
7,Sun,2022-09-18,18:00 (19:00),Benfica,3.5,5–0,0.2,Marítimo,56889,Estádio do Sport Lisboa e Benfica,António Nobre,Match Report,
7,Sun,2022-09-18,20:30 (21:30),Braga,1.8,2–0,0.8,Vizela,14181,Estádio Municipal de Braga,André Narciso,Match Report,
8,Fri,2022-09-30,19:00 (20:00),Sporting CP,2.6,3–1,1.5,Gil Vicente FC,27829,Estádio José Alvalade,Tiago Martins,Match Report,
8,Fri,2022-09-30,21:15 (22:15),Porto,4.3,4–1,0.4,Braga,44830,Estádio Do Dragão,Artur Soares Dias,Match Report,
8,Sat,2022-10-01,15:30 (16:30),Vizela,0.9,1–0,1.2,Portimonense,2435,Estádio Do Vizela,António Nobre,Match Report,
8,Sat,2022-10-01,18:00 (19:00),Chaves,0.7,1–1,1.6,Estoril,3345,Estádio Municipal Eng. Manuel Branco Tei...,Fábio Veríssimo,Match Report,
8,Sat,2022-10-01,20:30 (21:30),Vitória,0.3,0–0,0.5,Benfica,19231,Estádio Dom Afonso Henriques,Rui Costa,Match Report,
8,Sun,2022-10-02,15:30 (16:30),Rio Ave,0.3,1–0,0.3,Santa Clara,1984,Estádio do Rio Ave Futebol Clube,Cláudio Ruivo Pereira,Match Report,
8,Sun,2022-10-02,18:00 (19:00),Paços,0.4,1–1,1.1,Arouca,4431,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
8,Sun,2022-10-02,20:30 (21:30),Famalicão,1.0,4–0,0.4,Boavista,3783,Estádio Municipal 22 de Junho,Gustavo Correia,Match Report,
8,Mon,2022-10-03,20:15 (21:15),Marítimo,2.2,1–2,2.5,Casa Pia,4484,Estádio dos Barreiros,Vítor Ferreira,Match Report,
9,Fri,2022-10-07,20:15 (21:15),Gil Vicente FC,1.1,0–1,1.0,Estoril,2516,Estádio Cidade de Barcelos,Hélder Carvalho,Match Report,
9,Sat,2022-10-08,14:30 (16:30),Santa Clara,0.8,1–2,1.4,Sporting CP,4500,Estádio de São Miguel,Artur Soares Dias,Match Report,
9,Sat,2022-10-08,18:00 (19:00),Benfica,3.8,4–2,0.8,Rio Ave,56176,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
9,Sat,2022-10-08,18:00 (19:00),Portimonense,1.3,0–2,1.1,Porto,3960,Estádio do Portimonense SC,Manuel Mota,Match Report,
9,Sat,2022-10-08,20:30 (21:30),Paços,2.3,0–1,0.5,Vitória,5346,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
9,Sun,2022-10-09,15:30 (16:30),Boavista,1.5,1–1,1.8,Marítimo,11295,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
9,Sun,2022-10-09,18:00 (19:00),Casa Pia,0.7,0–1,0.5,Vizela,2912,Estádio Nacional,João Pinheiro,Match Report,
9,Sun,2022-10-09,20:30 (21:30),Braga,1.7,0–1,0.3,Chaves,12494,Estádio Municipal de Braga,Cláudio Ruivo Pereira,Match Report,
9,Mon,2022-10-10,20:15 (21:15),Arouca,1.2,4–1,0.9,Famalicão,1018,Estádio Municipal de Arouca,André Narciso,Match Report,
10,Fri,2022-10-21,20:15 (21:15),Porto,0.9,0–1,1.9,Benfica,49499,Estádio Do Dragão,João Pinheiro,Match Report,
10,Sat,2022-10-22,15:30 (16:30),Famalicão,0.6,2–1,0.8,Paços,2380,Estádio Municipal 22 de Junho,Miguel Nogueira,Match Report,
10,Sat,2022-10-22,18:00 (19:00),Estoril,0.2,0–2,0.9,Braga,2674,Estádio António Coimbra da Mota,André Narciso,Match Report,
10,Sat,2022-10-22,20:30 (21:30),Sporting CP,3.4,3–1,0.7,Casa Pia,26679,Estádio José Alvalade,Hélder Malheiro,Match Report,
10,Sun,2022-10-23,15:30 (16:30),Marítimo,0.8,1–1,1.5,Arouca,9072,Estádio dos Barreiros,Manuel Oliveira,Match Report,
10,Sun,2022-10-23,15:30 (16:30),Vizela,1.0,0–1,0.6,Santa Clara,2007,Estádio Do Vizela,Gustavo Correia,Match Report,
10,Sun,2022-10-23,18:00 (19:00),Chaves,2.4,3–1,0.7,Gil Vicente FC,2794,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Mota,Match Report,
10,Sun,2022-10-23,20:30 (21:30),Vitória,2.1,3–2,0.8,Boavista,11359,Estádio Dom Afonso Henriques,Fábio Veríssimo,Match Report,
10,Mon,2022-10-24,20:15 (21:15),Rio Ave,1.0,1–0,1.0,Portimonense,1693,Estádio do Rio Ave Futebol Clube,Bruno Jose Costa,Match Report,
11,Fri,2022-10-28,20:15 (21:15),Paços,0.6,0–1,2.0,Marítimo,3067,Estádio da Capital do Móvel,André Narciso,Match Report,
11,Sat,2022-10-29,14:30 (16:30),Santa Clara,0.4,1–1,2.0,Porto,5692,Estádio de São Miguel,Artur Soares Dias,Match Report,
11,Sat,2022-10-29,18:00 (19:00),Benfica,3.7,5–0,0.9,Chaves,54990,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,
11,Sat,2022-10-29,20:30 (21:30),Arouca,0.9,1–0,2.1,Sporting CP,2364,Estádio Municipal de Arouca,Rui Costa,Match Report,
11,Sun,2022-10-30,15:30 (16:30),Boavista,2.1,2–2,1.2,Vizela,5764,Estádio do Bessa Século XXI,Tiago Martins,Match Report,
11,Sun,2022-10-30,15:30 (16:30),Portimonense,3.0,1–1,0.8,Estoril,1304,Estádio do Portimonense SC,Gustavo Correia,Match Report,
11,Sun,2022-10-30,18:00 (19:00),Casa Pia,0.7,1–0,0.5,Rio Ave,2057,Estádio Nacional,Carlos Macedo,Match Report,
11,Sun,2022-10-30,20:30 (21:30),Gil Vicente FC,0.3,0–1,1.7,Braga,5627,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
11,Mon,2022-10-31,20:15 (21:15),Vitória,1.0,3–2,1.1,Famalicão,14968,Estádio Dom Afonso Henriques,António Nobre,Match Report,
12,Fri,2022-11-04,20:15 (21:15),Gil Vicente FC,1.1,1–2,2.5,Portimonense,2235,Estádio Cidade de Barcelos,Artur Soares Dias,Match Report,
12,Sat,2022-11-05,15:30 (16:30),Vizela,1.4,0–1,0.5,Arouca,2722,Estádio Do Vizela,Miguel Nogueira,Match Report,
12,Sat,2022-11-05,18:00 (19:00),Porto,3.0,4–0,0.2,Paços,41730,Estádio Do Dragão,Manuel Oliveira,Match Report,
12,Sat,2022-11-05,20:30 (21:30),Sporting CP,2.0,3–0,0.1,Vitória,27324,Estádio José Alvalade,Manuel Mota,Match Report,
12,Sun,2022-11-06,15:30 (16:30),Rio Ave,1.3,1–0,0.4,Boavista,2546,Estádio do Rio Ave Futebol Clube,Rui Costa,Match Report,
12,Sun,2022-11-06,18:00 (19:00),Braga,2.6,0–1,1.1,Casa Pia,13004,Estádio Municipal de Braga,Luís Godinho,Match Report,
12,Sun,2022-11-06,18:00 (19:00),Marítimo,1.0,0–0,1.9,Famalicão,9438,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
12,Sun,2022-11-06,20:30 (21:30),Estoril,0.9,1–5,3.1,Benfica,4858,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
12,Mon,2022-11-07,20:15 (21:15),Chaves,0.7,0–0,0.7,Santa Clara,2224,Estádio Municipal Eng. Manuel Branco Tei...,Bruno Jose Costa,Match Report,
13,Sat,2022-11-12,18:00 (19:00),Arouca,0.6,0–1,2.2,Rio Ave,1210,Estádio Municipal de Arouca,João Pinheiro,Match Report,
13,Sat,2022-11-12,20:30 (21:30),Boavista,0.3,1–4,2.7,Porto,11335,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
13,Sun,2022-11-13,15:30 (16:30),Paços,1.3,0–2,2.0,Vizela,5182,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
13,Sun,2022-11-13,15:30 (16:30),Vitória,0.7,1–0,0.3,Marítimo,14920,Estádio Dom Afonso Henriques,Bastien Dechepy,Match Report,
13,Sun,2022-11-13,18:00 (19:00),Casa Pia,0.9,1–2,1.6,Chaves,1035,Estádio Nacional,Hélder Carvalho,Match Report,
13,Sun,2022-11-13,18:00 (19:00),Benfica,2.9,3–1,1.0,Gil Vicente FC,57266,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
13,Sun,2022-11-13,18:00 (19:00),Portimonense,2.1,1–2,3.2,Braga,1290,Estádio do Portimonense SC,Tiago Martins,Match Report,
13,Sun,2022-11-13,20:30 (21:30),Famalicão,0.8,1–2,2.8,Sporting CP,3937,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
13,Mon,2022-11-14,19:15 (21:15),Santa Clara,2.3,3–1,0.9,Estoril,747,Estádio de São Miguel,André Narciso,Match Report,
14,Fri,2022-12-23,20:15 (21:15),Rio Ave,1.7,1–1,0.4,Marítimo,1492,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
14,Wed,2022-12-28,19:00 (20:00),Portimonense,1.2,1–2,1.6,Casa Pia,1002,Estádio do Portimonense SC,Carlos Macedo,Match Report,
14,Wed,2022-12-28,21:15 (22:15),Porto,3.7,5–1,0.3,Arouca,45725,Estádio Do Dragão,Tiago Martins,Match Report,
14,Thu,2022-12-29,17:00 (18:00),Gil Vicente FC,1.9,1–0,0.4,Santa Clara,2839,Estádio Cidade de Barcelos,João António Gonçalves,Match Report,
14,Thu,2022-12-29,21:15 (22:15),Sporting CP,2.3,3–0,0.3,Paços,31005,Estádio José Alvalade,António Nobre,Match Report,
14,Fri,2022-12-30,17:00 (18:00),Chaves,1.4,0–2,1.0,Famalicão,2304,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Malheiro,Match Report,
14,Fri,2022-12-30,19:00 (20:00),Vizela,1.9,3–0,1.3,Vitória,3820,Estádio Do Vizela,Rui Costa,Match Report,
14,Fri,2022-12-30,21:15 (22:15),Braga,1.6,3–0,0.9,Benfica,19398,Estádio Municipal de Braga,João Pinheiro,Match Report,
15,Thu,2023-01-05,19:15 (21:15),Santa Clara,0.1,0–4,2.6,Braga,1591,Estádio de São Miguel,Miguel Nogueira,Match Report,
15,Fri,2023-01-06,19:00 (20:00),Benfica,4.9,1–0,0.3,Portimonense,50559,Estádio do Sport Lisboa e Benfica,Vítor Ferreira,Match Report,
15,Fri,2023-01-06,21:15 (22:15),Famalicão,0.6,2–1,0.5,Vizela,3334,Estádio Municipal 22 de Junho,Tiago Martins,Match Report,
15,Sat,2023-01-07,15:30 (16:30),Arouca,3.3,2–0,0.7,Estoril,764,Estádio Municipal de Arouca,João Pinheiro,Match Report,
15,Sat,2023-01-07,18:00 (19:00),Vitória,0.8,0–0,0.4,Rio Ave,9200,Estádio Dom Afonso Henriques,André Narciso,Match Report,
15,Sat,2023-01-07,20:30 (21:30),Casa Pia,0.1,0–0,2.8,Porto,8107,Estádio Pina Manique,Nuno Almeida,Match Report,
15,Sun,2023-01-08,15:30 (16:30),Paços,1.6,1–1,0.9,Chaves,2466,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,
15,Sun,2023-01-08,18:00 (19:00),Marítimo,1.1,1–0,1.0,Sporting CP,9510,Estádio dos Barreiros,Hélder Malheiro,Match Report,
15,Sun,2023-01-08,20:30 (21:30),Boavista,1.5,1–0,1.5,Gil Vicente FC,3845,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
16,Fri,2023-01-13,20:15 (21:15),Portimonense,1.4,0–0,0.5,Santa Clara,762,Estádio do Portimonense SC,Rui Costa,Match Report,
16,Sat,2023-01-14,15:30 (16:30),Vizela,3.0,3–0,0.4,Marítimo,2609,Estádio Do Vizela,Manuel Oliveira,Match Report,
16,Sat,2023-01-14,18:00 (19:00),Rio Ave,0.8,0–1,0.2,Paços,2310,Estádio do Rio Ave Futebol Clube,Ricardo Baixinho,Match Report,
16,Sat,2023-01-14,20:30 (21:30),Braga,0.9,1–0,0.6,Boavista,12357,Estádio Municipal de Braga,André Narciso,Match Report,
16,Sun,2023-01-15,15:30 (16:30),Chaves,1.5,1–1,1.6,Arouca,1768,Estádio Municipal Eng. Manuel Branco Tei...,Nuno Almeida,Match Report,
16,Sun,2023-01-15,18:00 (19:00),Benfica,2.3,2–2,1.6,Sporting CP,62295,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
16,Sun,2023-01-15,20:30 (21:30),Porto,2.3,4–1,0.3,Famalicão,33313,Estádio Do Dragão,Gustavo Correia,Match Report,
16,Mon,2023-01-16,19:00 (20:00),Estoril,1.2,2–0,0.1,Casa Pia,1290,Estádio António Coimbra da Mota,Hélder Malheiro,Match Report,
16,Mon,2023-01-16,21:15 (22:15),Gil Vicente FC,1.6,2–1,1.1,Vitória,3088,Estádio Cidade de Barcelos,Fábio Veríssimo,Match Report,
17,Fri,2023-01-20,19:00 (20:00),Arouca,3.2,4–0,0.4,Portimonense,839,Estádio Municipal de Arouca,André Narciso,Match Report,
17,Fri,2023-01-20,21:15 (22:15),Sporting CP,2.9,2–1,0.6,Vizela,23358,Estádio José Alvalade,Rui Costa,Match Report,
17,Sat,2023-01-21,15:30 (16:30),Paços,0.7,1–2,1.9,Braga,5904,Estádio da Capital do Móvel,Cláudio Ruivo Pereira,Match Report,
17,Sat,2023-01-21,17:00 (19:00),Santa Clara,0.5,0–3,2.9,Benfica,9701,Estádio de São Miguel,Fábio Veríssimo,Match Report,
17,Sat,2023-01-21,20:30 (21:30),Vitória,0.9,0–1,1.1,Porto,19653,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,
17,Sun,2023-01-22,15:30 (16:30),Marítimo,0.7,1–0,0.7,Estoril,9212,Estádio dos Barreiros,Manuel Mota,Match Report,
17,Sun,2023-01-22,18:00 (19:00),Casa Pia,1.8,1–3,2.0,Gil Vicente FC,772,Estádio Nacional,Manuel Oliveira,Match Report,
17,Sun,2023-01-22,20:30 (21:30),Famalicão,2.5,0–0,0.9,Rio Ave,3660,Estádio Municipal 22 de Junho,João António Gonçalves,Match Report,
17,Mon,2023-01-23,20:15 (21:15),Boavista,1.7,1–1,0.6,Chaves,4011,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
20,Thu,2023-01-26,20:15 (21:15),Paços,0.6,0–2,1.7,Benfica,8060,Estádio da Capital do Móvel,Luís Godinho,Match Report,
