Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,2023-01-29,15:30 (16:30),Vizela,1.7,3–1,1.6,Rio Ave,3519,Estádio Do Vizela,Manuel Oliveira,Match Report,
18,Sun,2023-01-29,15:30 (16:30),Casa Pia,1.6,2–1,1.0,Santa Clara,1003,Estádio Nacional,Gustavo Correia,Match Report,
18,Sun,2023-01-29,18:00 (19:00),Boavista,2.1,4–2,0.4,Portimonense,4371,Estádio do Bessa Século XXI,João António Gonçalves,Match Report,
18,Sun,2023-01-29,20:30 (21:30),Famalicão,1.3,1–0,0.6,Estoril,3407,Estádio Municipal 22 de Junho,Miguel Nogueira,Match Report,
18,Mon,2023-01-30,20:15 (21:15),Vitória,1.9,2–1,1.2,Chaves,9347,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
18,Tue,2023-01-31,19:00 (20:00),Paços,1.8,2–1,0.7,Gil Vicente FC,2901,Estádio da Capital do Móvel,Bruno Jose Costa,Match Report,
18,Tue,2023-01-31,21:15 (22:15),Arouca,0.3,0–3,1.2,Benfica,4614,Estádio Municipal de Arouca,Rui Costa,Match Report,
18,Wed,2023-02-01,19:00 (20:00),Marítimo,0.6,0–2,0.7,Porto,9624,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
18,Wed,2023-02-01,21:15 (22:15),Sporting CP,2.6,5–0,0.1,Braga,26338,Estádio José Alvalade,Nuno Almeida,Match Report,
19,Sat,2023-02-04,14:30 (16:30),Santa Clara,0.5,2–2,0.6,Boavista,1680,Estádio de São Miguel,Vítor Ferreira,Match Report,
19,Sat,2023-02-04,18:00 (19:00),Benfica,3.5,3–0,0.2,Casa Pia,58763,Estádio do Sport Lisboa e Benfica,André Narciso,Match Report,
19,Sat,2023-02-04,20:30 (21:30),Estoril,1.1,0–1,1.1,Vitória,1624,Estádio António Coimbra da Mota,Fábio Veríssimo,Match Report,
19,Sun,2023-02-05,15:30 (16:30),Chaves,1.8,2–1,1.8,Marítimo,2129,Estádio Municipal Eng. Manuel Branco Tei...,Tiago Martins,Match Report,
19,Sun,2023-02-05,15:30 (16:30),Braga,1.8,4–1,0.7,Famalicão,14331,Estádio Municipal de Braga,Ricardo Baixinho,Match Report,
19,Sun,2023-02-05,18:00 (19:00),Porto,2.3,2–0,0.5,Vizela,41211,Estádio Do Dragão,Cláudio Ruivo Pereira,Match Report,
19,Sun,2023-02-05,20:30 (21:30),Gil Vicente FC,1.6,1–1,1.4,Arouca,2725,Estádio Cidade de Barcelos,Artur Soares Dias,Match Report,
19,Mon,2023-02-06,19:00 (20:00),Portimonense,1.5,1–0,0.9,Paços,745,Estádio do Portimonense SC,Miguel Nogueira,Match Report,
19,Mon,2023-02-06,21:15 (22:15),Rio Ave,0.4,0–1,0.4,Sporting CP,4125,Estádio do Rio Ave Futebol Clube,Manuel Mota,Match Report,
14,Thu,2023-02-09,18:00 (19:00),Estoril,2.5,2–1,0.9,Boavista,956,Estádio António Coimbra da Mota,Manuel Oliveira,Match Report,
20,Fri,2023-02-10,20:15 (21:15),Vizela,1.6,0–0,1.1,Chaves,2909,Estádio Do Vizela,Bruno Jose Costa,Match Report,
20,Sat,2023-02-11,18:00 (19:00),Arouca,0.7,1–0,0.3,Santa Clara,857,Estádio Municipal de Arouca,Hélder Carvalho,Match Report,
20,Sat,2023-02-11,20:30 (21:30),Vitória,2.2,1–0,0.5,Portimonense,12956,Estádio Dom Afonso Henriques,João Pinheiro,Match Report,
20,Sun,2023-02-12,15:30 (16:30),Famalicão,1.2,0–1,1.0,Gil Vicente FC,4483,Estádio Municipal 22 de Junho,Manuel Oliveira,Match Report,
20,Sun,2023-02-12,18:00 (19:00),Sporting CP,2.1,1–2,1.9,Porto,39528,Estádio José Alvalade,Artur Soares Dias,Match Report,
20,Sun,2023-02-12,20:30 (21:30),Marítimo,1.4,1–2,1.7,Braga,9937,Estádio dos Barreiros,Rui Costa,Match Report,
20,Mon,2023-02-13,19:00 (20:00),Rio Ave,1.7,2–0,0.8,Estoril,2654,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
20,Mon,2023-02-13,21:15 (22:15),Boavista,1.4,0–0,0.5,Casa Pia,3575,Estádio do Bessa Século XXI,Manuel Mota,Match Report,
21,Fri,2023-02-17,20:15 (21:15),Gil Vicente FC,1.8,1–1,1.9,Vizela,3112,Estádio Cidade de Barcelos,Ricardo Baixinho,Match Report,
21,Sat,2023-02-18,18:00 (19:00),Portimonense,0.8,2–1,0.9,Marítimo,1572,Estádio do Portimonense SC,Luís Godinho,Match Report,
21,Sat,2023-02-18,18:00 (19:00),Estoril,1.0,1–3,1.1,Paços,2052,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
21,Sat,2023-02-18,20:30 (21:30),Porto,1.5,1–0,0.5,Rio Ave,40629,Estádio Do Dragão,Vítor Ferreira,Match Report,
21,Sun,2023-02-19,14:30 (16:30),Santa Clara,2.4,1–3,1.1,Famalicão,1618,Estádio de São Miguel,André Narciso,Match Report,
21,Sun,2023-02-19,18:00 (19:00),Braga,1.2,2–0,1.2,Arouca,13407,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
21,Sun,2023-02-19,20:30 (21:30),Casa Pia,1.3,0–0,0.4,Vitória,1818,Estádio Nacional,Cláudio Ruivo Pereira,Match Report,
21,Mon,2023-02-20,19:00 (20:00),Chaves,0.8,2–3,4.0,Sporting CP,4981,Estádio Municipal Eng. Manuel Branco Tei...,António Nobre,Match Report,
21,Mon,2023-02-20,21:15 (22:15),Benfica,3.7,3–1,0.3,Boavista,56413,Estádio da Luz (1954),Hélder Malheiro,Match Report,
22,Fri,2023-02-24,20:15 (21:15),Famalicão,1.3,1–0,1.2,Portimonense,2965,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
22,Sat,2023-02-25,15:30 (16:30),Arouca,1.4,2–0,1.3,Casa Pia,1071,Estádio Municipal de Arouca,Gustavo Correia,Match Report,
22,Sat,2023-02-25,18:00 (19:00),Marítimo,2.7,3–1,1.2,Santa Clara,9312,Estádio dos Barreiros,Artur Soares Dias,Match Report,
22,Sat,2023-02-25,20:30 (21:30),Vizela,1.5,0–2,1.7,Benfica,5872,Estádio Do Vizela,Nuno Almeida,Match Report,
22,Sun,2023-02-26,15:30 (16:30),Rio Ave,0.9,1–0,0.4,Chaves,3244,Estádio do Rio Ave Futebol Clube,João António Gonçalves,Match Report,
22,Sun,2023-02-26,18:00 (19:00),Paços,1.0,1–3,2.3,Boavista,5406,Estádio da Capital do Móvel,Manuel Oliveira,Match Report,
22,Sun,2023-02-26,20:30 (21:30),Porto,1.8,1–2,2.4,Gil Vicente FC,35509,Estádio Do Dragão,Rui Costa,Match Report,
22,Mon,2023-02-27,19:00 (20:00),Sporting CP,2.2,2–0,0.1,Estoril,22313,Estádio José Alvalade,Manuel Mota,Match Report,
22,Mon,2023-02-27,21:15 (22:15),Vitória,1.2,2–1,0.4,Braga,19072,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,
23,Fri,2023-03-03,19:00 (20:00),Boavista,0.8,0–0,0.9,Arouca,4689,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
23,Fri,2023-03-03,21:15 (22:15),Benfica,1.8,2–0,0.4,Famalicão,56995,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
23,Sat,2023-03-04,15:30 (16:30),Estoril,0.8,0–3,1.2,Vizela,1815,Estádio António Coimbra da Mota,Cláudio Ruivo Pereira,Match Report,
23,Sat,2023-03-04,18:00 (19:00),Portimonense,0.4,0–1,3.9,Sporting CP,4474,Estádio do Portimonense SC,Gustavo Correia,Match Report,
23,Sat,2023-03-04,20:30 (21:30),Chaves,1.9,1–3,1.4,Porto,5568,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Oliveira,Match Report,
23,Sun,2023-03-05,15:30 (16:30),Gil Vicente FC,0.4,2–0,1.8,Marítimo,5243,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,
23,Sun,2023-03-05,17:00 (19:00),Santa Clara,1.1,1–3,1.4,Vitória,1598,Estádio de São Miguel,Manuel Mota,Match Report,
23,Sun,2023-03-05,20:30 (21:30),Braga,2.9,2–0,0.9,Rio Ave,9456,Estádio Municipal de Braga,Nuno Almeida,Match Report,
23,Mon,2023-03-06,20:15 (21:15),Casa Pia,1.3,2–1,0.5,Paços,9456,Estádio Nacional,João Pinheiro,Match Report,
24,Fri,2023-03-10,20:15 (21:15),Porto,2.1,3–2,1.6,Estoril,29116,Estádio Do Dragão,Gustavo Correia,Match Report,
24,Sat,2023-03-11,15:30 (16:30),Chaves,1.6,2–0,2.7,Portimonense,3301,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Mota,Match Report,
24,Sat,2023-03-11,15:30 (16:30),Paços,1.7,1–0,0.7,Santa Clara,3635,Estádio da Capital do Móvel,António Nobre,Match Report,
24,Sat,2023-03-11,18:00 (19:00),Vitória,1.5,0–2,1.4,Arouca,21717,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
24,Sat,2023-03-11,20:30 (21:30),Vizela,1.1,0–4,0.7,Braga,3682,Estádio Do Vizela,Artur Soares Dias,Match Report,
24,Sun,2023-03-12,15:30 (16:30),Rio Ave,2.2,2–1,1.7,Gil Vicente FC,3036,Estádio do Rio Ave Futebol Clube,Miguel Nogueira,Match Report,
24,Sun,2023-03-12,18:00 (19:00),Marítimo,0.4,0–3,4.3,Benfica,10547,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
24,Sun,2023-03-12,20:30 (21:30),Sporting CP,2.3,3–0,0.1,Boavista,27535,Estádio José Alvalade,João Pinheiro,Match Report,
24,Mon,2023-03-13,20:15 (21:15),Famalicão,1.2,1–0,1.1,Casa Pia,2729,Estádio Municipal 22 de Junho,Bruno Jose Costa,Match Report,
25,Fri,2023-03-17,19:15 (21:15),Santa Clara,0.7,0–2,2.1,Rio Ave,912,Estádio de São Miguel,Gustavo Correia,Match Report,
25,Sat,2023-03-18,15:30 (16:30),Portimonense,1.1,0–1,1.2,Vizela,1284,Estádio do Portimonense SC,Hélder Carvalho,Match Report,
25,Sat,2023-03-18,18:00 (19:00),Arouca,2.8,1–1,1.6,Paços,1048,Estádio Municipal de Arouca,Vítor Ferreira,Match Report,
25,Sat,2023-03-18,18:00 (19:00),Benfica,3.2,5–1,0.4,Vitória,59374,Estádio do Sport Lisboa e Benfica,André Narciso,Match Report,
25,Sat,2023-03-18,20:30 (21:30),Estoril,0.5,0–2,2.3,Chaves,2178,Estádio António Coimbra da Mota,Rui Costa,Match Report,
25,Sun,2023-03-19,15:30 (16:30),Casa Pia,1.9,2–0,1.1,Marítimo,2432,Estádio Nacional,António Nobre,Match Report,
25,Sun,2023-03-19,18:00 (19:00),Braga,0.9,0–0,1.1,Porto,22256,Estádio Municipal de Braga,João Pinheiro,Match Report,
25,Sun,2023-03-19,20:30 (21:30),Boavista,1.3,1–2,1.0,Famalicão,5530,Estádio do Bessa Século XXI,Ricardo Baixinho,Match Report,
26,Fri,2023-03-31,20:15 (21:15),Estoril,0.9,1–0,1.5,Gil Vicente FC,1612,Estádio António Coimbra da Mota,Hélder Carvalho,Match Report,
26,Sat,2023-04-01,15:30 (16:30),Vizela,0.9,3–1,0.7,Casa Pia,3008,Estádio Do Vizela,Manuel Mota,Match Report,
26,Sat,2023-04-01,18:00 (19:00),Vitória,0.9,0–0,0.8,Paços,14784,Estádio Dom Afonso Henriques,Gustavo Correia,Match Report,
26,Sat,2023-04-01,20:30 (21:30),Sporting CP,2.2,3–0,0.6,Santa Clara,31603,Estádio José Alvalade,André Narciso,Match Report,
26,Sun,2023-04-02,15:30 (16:30),Marítimo,3.2,4–2,0.8,Boavista,9679,Estádio dos Barreiros,Luís Godinho,Match Report,
26,Sun,2023-04-02,15:30 (16:30),Chaves,2.1,1–2,1.6,Braga,5454,Estádio Municipal Eng. Manuel Branco Tei...,Artur Soares Dias,Match Report,
26,Sun,2023-04-02,18:00 (19:00),Rio Ave,1.4,0–1,0.9,Benfica,4134,Estádio do Rio Ave Futebol Clube,Rui Costa,Match Report,
26,Sun,2023-04-02,20:30 (21:30),Porto,1.2,1–0,0.2,Portimonense,35802,Estádio Do Dragão,Miguel Nogueira,Match Report,
26,Mon,2023-04-03,20:15 (21:15),Famalicão,1.5,0–1,1.5,Arouca,4030,Estádio Municipal 22 de Junho,Carlos Macedo,Match Report,
25,Wed,2023-04-05,20:15 (21:15),Gil Vicente FC,0.8,0–0,1.4,Sporting CP,8076,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,
27,Fri,2023-04-07,14:30 (16:30),Santa Clara,0.7,0–1,0.8,Vizela,802,Estádio de São Miguel,João António Gonçalves,Match Report,
27,Fri,2023-04-07,18:00 (19:00),Benfica,0.5,1–2,0.6,Porto,62028,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
27,Fri,2023-04-07,20:30 (21:30),Boavista,0.9,2–1,1.7,Vitória,5756,Estádio do Bessa Século XXI,António Nobre,Match Report,
27,Sat,2023-04-08,15:30 (16:30),Arouca,1.1,1–0,0.8,Marítimo,1719,Estádio Municipal de Arouca,Nuno Almeida,Match Report,
27,Sat,2023-04-08,18:00 (19:00),Portimonense,2.2,2–2,2.0,Rio Ave,1246,Estádio do Portimonense SC,Carlos Macedo,Match Report,
27,Sat,2023-04-08,18:00 (19:00),Paços,1.6,1–3,1.0,Famalicão,4992,Estádio da Capital do Móvel,Rui Costa,Match Report,
27,Sat,2023-04-08,20:30 (21:30),Braga,3.4,4–1,0.3,Estoril,15507,Estádio Municipal de Braga,Vítor Ferreira,Match Report,
27,Sun,2023-04-09,18:00 (19:00),Casa Pia,0.9,3–4,2.0,Sporting CP,10509,Estádio Nacional,Fábio Veríssimo,Match Report,
27,Mon,2023-04-10,20:15 (21:15),Gil Vicente FC,1.6,0–0,1.6,Chaves,3761,Estádio Cidade de Barcelos,Manuel Mota,Match Report,
28,Fri,2023-04-14,20:15 (21:15),Famalicão,0.9,2–1,0.6,Vitória,4042,Estádio Municipal 22 de Junho,André Narciso,Match Report,
28,Sat,2023-04-15,15:30 (16:30),Estoril,1.1,0–1,1.2,Portimonense,1714,Estádio António Coimbra da Mota,Bruno Jose Costa,Match Report,
28,Sat,2023-04-15,15:30 (16:30),Marítimo,1.7,3–1,1.0,Paços,9093,Estádio dos Barreiros,Artur Soares Dias,Match Report,
28,Sat,2023-04-15,18:00 (19:00),Chaves,0.8,1–0,2.2,Benfica,8297,Estádio Municipal Eng. Manuel Branco Tei...,João Pinheiro,Match Report,
28,Sat,2023-04-15,20:30 (21:30),Porto,2.6,2–1,0.4,Santa Clara,40708,Estádio Do Dragão,Cláudio Ruivo Pereira,Match Report,
28,Sun,2023-04-16,15:30 (16:30),Rio Ave,0.6,1–1,0.8,Casa Pia,2752,Estádio do Rio Ave Futebol Clube,Miguel Nogueira,Match Report,
28,Sun,2023-04-16,18:00 (19:00),Braga,1.5,1–0,0.7,Gil Vicente FC,18197,Estádio Municipal de Braga,Rui Costa,Match Report,
28,Sun,2023-04-16,20:30 (21:30),Sporting CP,3.0,1–1,1.0,Arouca,25584,Estádio José Alvalade,Vítor Ferreira,Match Report,
28,Mon,2023-04-17,20:15 (21:15),Vizela,1.0,1–1,1.0,Boavista,3403,Estádio Do Vizela,Hélder Carvalho,Match Report,
29,Fri,2023-04-21,20:15 (21:15),Casa Pia,0.3,0–1,1.7,Braga,1016,Estádio Nacional,Manuel Oliveira,Match Report,
29,Sat,2023-04-22,15:30 (16:30),Famalicão,3.0,3–2,1.4,Marítimo,4044,Estádio Municipal 22 de Junho,Hélder Malheiro,Match Report,
29,Sat,2023-04-22,18:00 (19:00),Boavista,3.1,3–2,0.7,Rio Ave,6260,Estádio do Bessa Século XXI,João António Gonçalves,Match Report,
29,Sat,2023-04-22,20:30 (21:30),Paços,0.7,0–2,3.2,Porto,7852,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,
29,Sun,2023-04-23,15:30 (16:30),Portimonense,1.0,1–0,1.8,Gil Vicente FC,1278,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
29,Sun,2023-04-23,17:00 (19:00),Santa Clara,1.6,1–1,0.9,Chaves,633,Estádio de São Miguel,Ricardo Baixinho,Match Report,
29,Sun,2023-04-23,18:00 (19:00),Benfica,3.2,1–0,0.2,Estoril,58062,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
29,Sun,2023-04-23,20:30 (21:30),Arouca,1.5,1–0,1.9,Vizela,1742,Estádio Municipal de Arouca,Bruno Jose Costa,Match Report,
29,Mon,2023-04-24,20:15 (21:15),Vitória,0.2,0–2,1.5,Sporting CP,21893,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,
30,Fri,2023-04-28,20:15 (21:15),Rio Ave,1.6,1–0,0.5,Arouca,2298,Estádio do Rio Ave Futebol Clube,Ricardo Baixinho,Match Report,
30,Sat,2023-04-29,15:30 (16:30),Marítimo,1.8,1–2,1.6,Vitória,9274,Estádio dos Barreiros,António Nobre,Match Report,
30,Sat,2023-04-29,15:30 (16:30),Braga,1.9,4–1,0.6,Portimonense,16005,Estádio Municipal de Braga,André Narciso,Match Report,
30,Sat,2023-04-29,18:00 (19:00),Vizela,2.3,1–2,1.2,Paços,4423,Estádio Do Vizela,Cláudio Ruivo Pereira,Match Report,
30,Sat,2023-04-29,18:00 (19:00),Chaves,1.7,1–0,1.4,Casa Pia,2451,Estádio Municipal Eng. Manuel Branco Tei...,Carlos Macedo,Match Report,
30,Sat,2023-04-29,20:30 (21:30),Gil Vicente FC,0.4,0–2,3.1,Benfica,11694,Estádio Cidade de Barcelos,Fábio Veríssimo,Match Report,
30,Sun,2023-04-30,15:30 (16:30),Estoril,1.8,3–0,1.0,Santa Clara,4198,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
30,Sun,2023-04-30,18:00 (19:00),Porto,1.6,1–0,0.8,Boavista,47925,Estádio Do Dragão,Rui Costa,Match Report,
30,Sun,2023-04-30,20:30 (21:30),Sporting CP,1.4,2–1,0.6,Famalicão,29443,Estádio José Alvalade,Manuel Oliveira,Match Report,
31,Fri,2023-05-05,20:15 (21:15),Casa Pia,1.8,1–1,0.8,Portimonense,556,Estádio Nacional,Hélder Carvalho,Match Report,
31,Sat,2023-05-06,14:30 (16:30),Santa Clara,2.9,3–2,1.7,Gil Vicente FC,579,Estádio de São Miguel,Manuel Oliveira,Match Report,
31,Sat,2023-05-06,18:00 (19:00),Boavista,2.1,1–0,0.6,Estoril,5379,Estádio do Bessa Século XXI,Vítor Ferreira,Match Report,
31,Sat,2023-05-06,20:30 (21:30),Benfica,3.1,1–0,0.6,Braga,60289,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,
31,Sun,2023-05-07,15:30 (16:30),Marítimo,2.0,2–2,0.7,Rio Ave,8641,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
31,Sun,2023-05-07,18:00 (19:00),Vitória,1.1,3–0,1.4,Vizela,20031,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
31,Sun,2023-05-07,20:30 (21:30),Paços,0.3,0–4,3.1,Sporting CP,4791,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
31,Mon,2023-05-08,19:00 (20:00),Famalicão,1.3,1–2,2.1,Chaves,3681,Estádio Municipal 22 de Junho,João António Gonçalves,Match Report,
31,Mon,2023-05-08,21:15 (22:15),Arouca,0.5,0–1,2.2,Porto,4092,Estádio Municipal de Arouca,João Pinheiro,Match Report,
32,Fri,2023-05-12,20:15 (21:15),Gil Vicente FC,2.4,3–1,2.1,Boavista,3265,Estádio Cidade de Barcelos,Ricardo Baixinho,Match Report,
32,Sat,2023-05-13,15:30 (16:30),Chaves,1.8,2–0,0.9,Paços,2475,Estádio Municipal Eng. Manuel Branco Tei...,João Pinheiro,Match Report,
32,Sat,2023-05-13,15:30 (16:30),Vizela,0.8,0–0,1.7,Famalicão,2717,Estádio Do Vizela,António Nobre,Match Report,
32,Sat,2023-05-13,18:00 (19:00),Portimonense,0.3,1–5,3.6,Benfica,4404,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
32,Sat,2023-05-13,20:30 (21:30),Sporting CP,2.0,2–1,0.2,Marítimo,27130,Estádio José Alvalade,Tiago Martins,Match Report,
32,Sun,2023-05-14,15:30 (16:30),Rio Ave,1.1,0–1,0.9,Vitória,4001,Estádio do Rio Ave Futebol Clube,Miguel Nogueira,Match Report,
32,Sun,2023-05-14,18:00 (19:00),Braga,2.8,5–3,3.6,Santa Clara,16442,Estádio Municipal de Braga,Vítor Ferreira,Match Report,
32,Sun,2023-05-14,20:30 (21:30),Porto,3.2,2–1,1.1,Casa Pia,35203,Estádio Do Dragão,Manuel Oliveira,Match Report,
32,Mon,2023-05-15,20:15 (21:15),Estoril,1.2,2–0,1.0,Arouca,2826,Estádio António Coimbra da Mota,Hélder Malheiro,Match Report,
33,Fri,2023-05-19,20:15 (21:15),Marítimo,2.2,1–0,0.4,Vizela,10181,Estádio dos Barreiros,Artur Soares Dias,Match Report,
33,Sat,2023-05-20,14:30 (16:30),Santa Clara,2.8,1–0,0.2,Portimonense,635,Estádio de São Miguel,Bruno Jose Costa,Match Report,
33,Sat,2023-05-20,15:30 (16:30),Arouca,1.8,1–0,2.2,Chaves,1993,Estádio Municipal de Arouca,Gustavo Correia,Match Report,
33,Sat,2023-05-20,18:00 (19:00),Boavista,1.1,1–1,1.3,Braga,9265,Estádio do Bessa Século XXI,Nuno Almeida,Match Report,
33,Sat,2023-05-20,20:30 (21:30),Famalicão,1.2,2–4,4.6,Porto,4992,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,
33,Sun,2023-05-21,15:30 (16:30),Vitória,1.4,1–0,0.7,Gil Vicente FC,22733,Estádio Dom Afonso Henriques,Manuel Mota,Match Report,
33,Sun,2023-05-21,18:00 (19:00),Paços,2.3,3–1,1.7,Rio Ave,2032,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
33,Sun,2023-05-21,18:00 (19:00),Casa Pia,4.2,2–2,1.4,Estoril,302,Estádio Nacional,Carlos Macedo,Match Report,
33,Sun,2023-05-21,20:30 (21:30),Sporting CP,2.4,2–2,2.2,Benfica,39348,Estádio José Alvalade,João Pinheiro,Match Report,
34,Fri,2023-05-26,19:00 (20:00),Rio Ave,1.6,2–2,1.5,Famalicão,3037,Estádio do Rio Ave Futebol Clube,Carlos Macedo,Match Report,
34,Fri,2023-05-26,21:15 (22:15),Vizela,0.5,1–2,1.0,Sporting CP,3309,Estádio Do Vizela,Cláudio Ruivo Pereira,Match Report,
34,Sat,2023-05-27,12:45 (13:45),Gil Vicente FC,1.4,1–0,0.8,Casa Pia,2272,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,
34,Sat,2023-05-27,15:30 (16:30),Estoril,1.6,3–1,1.7,Marítimo,2736,Estádio António Coimbra da Mota,Ricardo Baixinho,Match Report,
34,Sat,2023-05-27,15:30 (16:30),Chaves,0.9,1–4,2.2,Boavista,3135,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Carvalho,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Benfica,2.4,3–0,1.0,Santa Clara,64012,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Portimonense,1.6,0–2,1.5,Arouca,867,Estádio do Portimonense SC,Vítor Ferreira,Match Report,
34,Sat,2023-05-27,18:00 (19:00),Porto,2.4,3–0,0.7,Vitória,42417,Estádio Do Dragão,Artur Soares Dias,Match Report,
34,Sat,2023-05-27,20:30 (21:30),Braga,2.0,3–0,0.7,Paços,14481,Estádio Municipal de Braga,Manuel Mota,Match Report